generation,avg_unshaped_r,avg_shaped_r,avg_length,max_unshaped_r,max_shaped_r,sigma
150,1.3857,3.4471,178.39,4.1000,15.2265,0.4750
151,1.3041,3.1519,167.55,4.1000,12.6445,0.5000
152,1.2837,3.3717,159.45,3.1000,10.7900,0.5000
153,0.8551,1.4326,168.12,3.1000,12.7830,0.4750
154,0.8755,1.7837,165.76,3.1000,11.3980,0.5000
155,1.1000,2.5725,174.37,3.1000,13.4395,0.4750
156,1.1612,2.5270,182.80,3.1000,10.8205,0.5000
157,1.2224,3.0756,169.92,4.1000,14.5265,0.4750
158,1.0796,2.2871,176.84,3.1000,10.7680,0.5000
159,1.0796,2.2320,168.98,4.1000,11.3135,0.4750
160,1.1612,2.8620,168.73,3.1000,11.6485,0.4512
161,0.9776,2.0501,165.73,3.1000,13.6925,0.4287
162,1.4265,3.6534,178.73,4.1000,13.6445,0.4716
163,1.3041,3.2729,163.80,3.1000,13.0435,0.5000
164,1.0184,2.1367,172.98,3.1000,13.6925,0.4750
165,1.1000,2.6981,169.65,3.1000,12.8380,0.5000
166,1.1816,2.8175,173.06,3.1000,9.7010,0.5000
167,1.2837,3.2606,181.88,3.1000,12.0550,0.4750
168,1.0388,2.6336,169.80,3.1000,10.6215,0.5000
169,1.2429,3.4632,173.24,3.1000,12.3325,0.4750
170,1.1612,3.0564,170.69,3.1000,13.0850,0.4512
171,1.3449,3.1447,180.94,4.1000,13.9715,0.4287
172,1.1000,2.4420,174.65,4.1000,17.5580,0.4073
173,1.4469,3.6109,182.67,3.1000,11.0315,0.4480
174,1.3653,3.7582,166.16,4.1000,16.2570,0.4256
175,1.3653,3.4911,178.55,3.1000,13.5715,0.4681
176,1.5490,4.4607,164.41,3.1000,11.7315,0.5000
177,0.9163,1.9296,164.53,3.1000,11.1475,0.5000
178,1.2633,3.3427,179.90,3.1000,14.1140,0.4750
179,1.1408,2.7130,188.24,3.1000,13.0905,0.5000
180,1.2837,3.2043,178.57,3.1000,13.2505,0.4750
181,0.7531,0.7063,170.08,2.1000,8.7865,0.5000
182,0.9980,2.2126,171.61,3.1000,12.0790,0.4750
183,0.9571,2.0467,187.49,3.1000,14.1860,0.4512
184,1.0388,2.5619,165.12,3.1000,13.4040,0.4964
185,0.9571,2.0767,172.02,2.1000,8.7010,0.5000
186,0.7939,1.1966,179.59,2.1000,8.6565,0.5000
187,0.9571,1.7846,169.90,3.1000,13.2855,0.4750
188,1.2224,3.2737,171.55,4.1000,15.9375,0.4512
189,1.1408,2.6456,175.49,3.1000,14.1055,0.4964
190,1.4673,4.2074,178.43,4.1000,15.6355,0.4716
191,0.9776,2.0773,151.61,2.1000,9.1410,0.5000
192,1.3245,3.3863,168.57,4.1000,13.9870,0.4750
193,1.2837,3.2639,174.14,4.1000,14.2985,0.4512
194,0.9571,1.8161,173.49,3.1000,9.7180,0.4964
195,1.0184,1.7791,170.35,4.1000,14.4435,0.4716
196,0.9571,1.0296,175.59,4.1000,12.8015,0.5000
197,1.2020,1.8836,167.65,3.1000,10.3720,0.5000
198,1.2429,2.4032,176.98,3.1000,9.1830,0.5000
199,1.2633,2.6302,169.88,4.1000,13.7200,0.4750
200,0.8143,1.1152,167.88,4.1000,15.0000,0.4512
